Name,"River id [Fekete, et al., 2002]",Basin area (km2),Runoff ( km3),DSi (Mg km-2),Ln(Precipitation) (mm day-1),Bulkdensity (Mg m-3),Fraction volcanic rock (-),GAEZ slope (m km-1)
Amazon,1,5829300,6202.91,7.44,1.75,1.36,0.05,6.37
Nile,2,3812400,445.67,0.37,0.43,1.48,0.06,10.57
Congo,3,3682700,2290.42,3.36,1.43,1.39,0,8.41
Mississippi,4,3206700,274.09,2.15,0.71,1.5,0.01,10.13
Ob,5,3040300,226.56,1.72,0.18,1.36,0.09,8.46
Parana,6,2657600,632.95,3.49,1.13,1.45,0.11,7.79
Yenisey,7,2591900,306.4,1.52,0.23,1.39,0.18,18.8
Lena,8,2455900,200.8,0.89,0.04,1.36,0.04,19.19
Niger,9,2231900,403.9,1.8,0.59,1.51,0.01,6.22
Chang Jiang,11,1792300,455.12,3.34,1.02,1.41,0.12,27.5
Amur,12,1760500,136.34,0.4,0.41,1.4,0.15,17.74
Arctic Red,13,1704600,106.29,0.65,0.06,1.19,0.06,10.99
Ganges-Brahmaputra,14,1625600,914.21,4.86,1.23,1.43,0.03,20.33
Zambezi,17,1358700,323.19,1.23,0.93,1.45,0.01,12.68
Indus,20,1142200,62.03,1.38,0.1,1.48,0.03,22.3
Nelson,21,1144000,60.29,0.1,0.29,1.36,0.01,5.37
Saint Lawrence,24,1056200,405.69,2.22,0.77,1.39,0.02,7.61
Orinoco,25,1034900,1550.78,6.5,1.85,1.38,0.07,9.71
Murray,26,1030700,11.7,0.4,0.19,1.58,0.07,4.19
Shatt el Arab,27,989790,68.44,0.58,-0.32,1.47,0.07,15.72
Orange,28,942030,1.09,0.19,-0.15,1.52,0.06,14.47
Huang He,29,893910,13.35,0.42,0.18,1.4,0.02,20.17
Yukon,30,861260,66.17,1.63,-0.3,1.27,0.18,21.01
Senegal,31,844470,59.88,0.66,0,1.54,0.05,4.92
Colorado (Ari),34,807760,1.83,0.37,-0.19,1.53,0.19,20.14
Rio Grande (US),35,803880,0.77,0.6,-0.1,1.51,0.21,15.09
Danube,36,790020,168.74,1.24,0.77,1.42,0.08,19
Tocantins,37,765600,911.34,5.7,1.53,1.41,0.02,6.33
Mekong,38,756290,446.82,5.2,1.4,1.4,0.08,21.17
Columbia,40,733760,128.55,4.76,0.54,1.4,0.55,27.52
Kolyma,43,670070,61.39,0.78,-0.19,1.41,0.13,20.37
Sao Francisco,45,612860,170.6,1.43,1,1.47,0,7.87
Dnepr,47,510730,25.99,0.36,0.48,1.47,0,6.44
Don,49,424450,11.03,0.29,0.31,1.56,0,8.66
Limpopo,51,419330,0.08,1.05,0.29,1.52,0.13,14.58
Zhujiang,54,407620,152.56,7.06,1.36,1.42,0.13,25.11
Irrawaddy,55,404990,418.6,10.67,1.67,1.39,0.04,22.53
Volta,56,396470,94.35,1.59,1.05,1.54,0.01,5.54
Khatanga,58,373110,87.06,0.74,-0.08,1.3,0.2,13.29
N. Dvina,59,363110,64.25,2.3,0.51,1.31,0,6.36
Uruguay,60,355110,105.87,9.06,1.39,1.44,0.57,10.46
Indigirka,63,336420,36.9,0.47,-0.27,1.41,0.09,20.46
Pechora,66,316380,64.18,2.43,0.41,1.15,0.02,8.46
Godavari,67,310650,71.48,6.06,1.06,1.55,0.46,10.28
Churchill (Hud),68,304970,24.67,0.19,0.24,1.13,0.01,3.96
